study_hours,score
1,47
1,49
1,50
1,46
2,50
2,52
2,53
2,51
3,54
3,56
3,57
3,55
4,58
4,60
4,59
4,61
5,61
5,64
5,63
5,65
6,66
6,68
6,67
6,69
7,69
7,72
7,71
7,73
8,73
8,75
8,76
8,74
9,76
9,79
9,78
9,80
10,80
10,82
10,81
10,84
11,82
11,85
11,86
11,84
12,86
12,88
12,89
12,87
13,89
13,91
13,92
13,90
14,91
14,94
14,95
14,93
15,94
15,96
15,97
15,95
16,96
16,98
16,99
16,97
17,98
17,100
17,99
17,100
18,99
18,100
18,100
18,99
19,100
19,99
19,100
19,100
20,100
20,100
20,99
20,100
21,100
21,100
21,100
21,99
22,100
22,100
22,99
22,100
23,100
23,99
23,100
23,100
24,100
24,100
24,99
24,100
25,100
25,100
25,100
25,99
